Title,Author,Edition,Reviews,Ratings,Synopsis,Genre,BookCategory
Shopaholic to the Rescue,Sophie Kinsella,"Paperback,– 11 Jul 2016",3.7 out of 5 stars,11 customer reviews,"To Las Vegas... and beyond!

Becky Brandon (née Bloomwood) is on a major rescue mission! Hollywood was full of surprises and now she's on a road trip to Las Vegas to help her friends and family.

She's determined to get to the bottom of why her dad has mysteriously disappeared, help her best friend Suze and even bond with Alicia Bitch Long-legs (maybe).

As Becky discovers just how much her friends and family need help, she comes up with her biggest, boldest, most brilliant plan yet! So can she save the day just when they need her most?

Becky is setting out to make things right in this laugh-out-loud, feel-good conclusion to her American adventure that began with Shopaholic to the Stars.",Romance (Books),Humour
The Thing with Feathers: The Surprising Lives of Birds and What They Reveal About Being Human,Noah Strycker,"Paperback,– 3 Mar 2015",4.0 out of 5 stars,1 customer review,"An entertaining and profound look at the lives of birds, illuminating their surprising world—and deep connection with humanity.
 
Birds are highly intelligent animals, yet their intelligence is dramatically different from our own and has been little understood. As we learn more about the secrets of bird life, we are unlocking fascinating insights into memory, relationships, game theory, and the nature of intelligence itself.

The Thing with Feathers explores the astonishing homing abilities of pigeons, the good deeds of fairy-wrens, the influential flocking abilities of starlings, the deft artistry of bowerbirds, the extraordinary memories of nutcrackers, the lifelong loves of albatrosses, and other mysteries—revealing why birds do what they do, and offering a glimpse into our own nature.

Drawing deep from personal experience, cutting-edge science, and colorful history, Noah Strycker spins captivating stories about the birds in our midst and shares the startlingly intimate coexistence of birds and humans. With humor, style, and grace, he shows how our view of the world is often, and remarkably, through the experience of birds. You’ve never read a book about birds like this one.",Biotechnology Engineering Textbooks,Sports
Liar's Poker: From the author of the Big Short (Hodder Great Reads),Michael Lewis,"Paperback,– 5 Jun 2006",4.2 out of 5 stars,36 customer reviews,"The original classic that revealed the truth about ambition, greed and excess in London and Wall Street, by the author of #1 bestsellers THE BIG SHORT and FLASH BOYS.
From mere trainee to lowly geek, to triumphal Big Swinging Dick: that was Michael Lewis's pell-mell progress through the dealing rooms of Salomon Brothers in New York and London during the heady mid-80s when they were probably the world's most powerful and profitable merchant bank.
Funny, frightening, breathless and heartless, Liar's Poker is the original story of hysterical greed and excessive ambition, one that is now more potent and enthralling than ever.
'If you thought Gordon Gekko of the Wall Street movie was an implausibly corrupt piece of fiction, see how you like the real thing. This rip-the-lid-off account of the bond-dealing brouhaha is the work of a real-life bond salesman.' The Sunday Times

'Wickedly funny' Daily Express

'Hilarious' New York Times",Banks & Banking,"Biographies, Diaries & True Accounts"
"WALKING DRUM, THE: A Novel",Louis L'Amour,"Mass Market Paperback,– 1 Apr 1985",4.3 out of 5 stars,3 customer reviews,"Louis L’Amour has been best known for his ability to capture the spirit and drama of the authentic American West. Now he guides his readers to an even more distant frontier—the enthralling lands of the twelfth century.
 
Warrior, lover, and scholar, Kerbouchard is a daring seeker of knowledge and fortune bound on a journey of enormous challenge, danger, and revenge. Across Europe, over the Russian steppes, and through the Byzantine wonders of Constantinople, Kerbouchard is thrust into the treacheries, passions, violence, and dazzling wonders of a magnificent time.
 
From castle to slave galley, from sword-racked battlefields to a princess’s secret chamber, and ultimately, to the impregnable fortress of the Valley of Assassins, The Walking Drum is a powerful adventure in an ancient world that you will find every bit as riveting as Louis L’Amour’s stories of the American West.",Action & Adventure (Books),Action & Adventure
Data Structures Using C++,Varsha H. Patil,"Paperback,– 6 Feb 2012",4.7 out of 5 stars,7 customer reviews,"Data Structures Using C++ is designed to serve as a textbook for undergraduate engineering students of computer science and information technology as well as postgraduate students of computer applications. The book aims to provide a comprehensive coverage of all the topics related to data structures.

The book begins with a discussion on the fundamentals of data structures and algorithms, and moves on to the concepts of linear data structures, stacks, recursion, queues, and searching and sorting. All the elements of data structures, such as linked lists, trees, graphs, hashing, heaps, and indexing, are covered in separate chapters in detail. The chapter on files explains file management and organization using C++ and the chapter on the standard template library provides detailed coverage of entities such as containers and iterators. A chapter on algorithm analysis and design is provided towards the end that discusses the various algorithmic strategies required to solve a problem effectively and efficiently.

Written in a simple manner with strong pedagogy including numerous multiple choice and review questions, the book also provides programming problems at the end of every chapter.",Programming Languages (Books),"Computing, Internet & Digital Media"
Theory of Music Workbook Grade 2 (2007) (Trinity Guildhall Theory of Music),Naomi Yandell,"Sheet music,– 15 Jun 2007",4.4 out of 5 stars,15 customer reviews,"This theory workbook contains worked examples and sample exercises for Trinity College London Theory Grade 2 examinations from 2007. This is suitable for use in lessons or at home, for private study.",Music Books,"Arts, Film & Photography"
Standard Wirebound Manuscript Paper,Hal Leonard Publishing Corporation,"Spiral-bound,– 1 Feb 1986",4.7 out of 5 stars,12 customer reviews,(Manuscript Paper). 96-page wirebound book; 12 staves per page; 8 1/2 x 11 ; Music Notation Guide.,Music Books,"Arts, Film & Photography"
The Box Man: A Novel (Vintage International),Kobo Abe,"Paperback,– 10 Jul 2001",3.0 out of 5 stars,1 customer review,"Kobo Abe, the internationally acclaimed author of Woman in the Dunes, combines wildly imaginative fantasies and naturalistic prose to create narratives reminiscent of the work of Kafka and Beckett.

In this eerie and evocative masterpiece, the nameless protagonist gives up his identity and the trappings of a normal life to live in a large cardboard box he wears over his head. Wandering the streets of Tokyo and scribbling madly on the interior walls of his box, he describes the world outside as he sees or perhaps imagines it, a tenuous reality that seems to include a mysterious rifleman determined to shoot him, a seductive young nurse, and a doctor who wants to become a box man himself. The Box Man is a marvel of sheer originality and a bizarrely fascinating fable about the very nature of identity.

Translated from the Japanese by E. Dale Saunders.",Humour (Books),"Crime, Thriller & Mystery"
Thinking in Bets: Making Smarter Decisions When You Don't Have All the Facts,Annie Duke,"Hardcover,– 25 Jun 2018",3.8 out of 5 stars,16 customer reviews,"Poker champion turned business consultant Annie Duke teaches you how to get comfortable with uncertainty and make better decisions as a result.

In Super Bowl XLIX, Seahawks coach Pete Carroll made one of the most controversial calls in football history: With 26 seconds remaining, and trailing by four at the Patriots' one-yard line, he called for a pass instead of a hand off to his star running back. The pass was intercepted and the Seahawks lost. Critics called it the dumbest play in history. But was the call really that bad? Or did Carroll actually make a great move that was ruined by bad luck?

Even the best decision doesn't yield the best outcome every time. There's always an element of luck that you can't control, and there is always information that is hidden from view. So the key to long-term success (and avoiding worrying yourself to death) is to think in bets: How sure am I? What are the possible ways things could turn out? What decision has the highest odds of success? Did I land in the unlucky 10% on the strategy that works 90% of the time? Or is my success attributable to dumb luck rather than great decision making?

Annie Duke, a former World Series of Poker champion turned business consultant, draws on examples from business, sports, politics, and (of course) poker to share tools anyone can use to embrace uncertainty and make better decisions. For most people, it's difficult to say ""I'm not sure"" in a world that values and, even, rewards the appearance of certainty. But professional poker players are comfortable with the fact that great decisions don't always lead to great outcomes and bad decisions don't always lead to bad outcomes.

By shifting your thinking from a need for certainty to a goal of accurately assessing what you know and what you don't, you'll be less vulnerable to reactive emotions, knee-jerk biases, and destructive habits in your decision making. You'll become more confident, calm, compassionate and successful in the long run.","Crime, Thriller & Mystery (Books)","Crime, Thriller & Mystery"
Mothering A Muslim,Nazia Erum,"Paperback,– 30 Nov 2018",4.5 out of 5 stars,5 customer reviews,"'An important and timely book . . . Bigotry doesn't stop at Karni Sena going on a rampage over a Padmaavat, it comes home in the form of a child who thinks nothing of bullying another merely for being a Muslim' Scroll
'This is not the kind of book you can love . . . I wound up reviewing not only the book, but myself, my family, my community, and my country. I can't think of any other book I've read with such an impact' Hindustan Times
'A collective memoir of Muslim motherhood in India' Firstpost
'Raises many questions . . . that send the mind reeling' Ladiesfinger.com
'Meticulously researched and sobering. This is essential reading for all parents and all schools - and for anyone thinking about the India which we want our children to grow up in' Shalini Advani, Director, Pathways School Noida
'Hard-hitting' Mint Lounge
'Moving and powerful . . . fill(s) a large gap in Indian literature' Wire
'A very important book' Asian Age
'A must-read. A sensitive, eye-opening narrative which every parent and those who work with children must read' Arun Kapur, Director, Vasant Valley School
]",Action & Adventure (Books),Action & Adventure
Non Alignment 2.0: A Foreign and Strategic Policy for India in the 21st Century,"Sunil Khilnani, Rajiv Kumar, Pratap Bhanu Mehta","Paperback,– 13 Aug 2014",3.0 out of 5 stars,6 customer reviews,"From India's most brilliant thinkers and analysts, comes a prescription for India's foreign and strategic policy over the next decade. The book identifies the threats and challenges India is likely to confront, the approach it should adopt to successfully pursue its national development goals and its international interests in a changing global environment and thus assume its rightful place in the world.",Government (Books),Politics
Spark of Life: A Novel,James Stern,"Paperback,– 1 Apr 2014",5.0 out of 5 stars,1 customer review,"In Spark of Life, a powerful classic from the renowned author of All Quiet on the Western Front, one man’s dream of freedom inspires a valiant resistance against the Nazi war machine.
 
For ten years, 509 has been a political prisoner in a German concentration camp, persevering in the most hellish conditions. Deathly weak, he still has his wits about him and he senses that the end of the war is near. If he and the other living corpses in his barracks can hold on for liberation—or force their own—then their suffering will not have been in vain.
 
Now the SS who run the camp are ratcheting up the terror. But their expectations are jaded and their defenses are down. It is possible that the courageous yet terribly weak prisoners have just enough left in them to resist. And if they die fighting, they will die on their own terms, cheating the Nazis out of their devil’s contract.
 
“The world has a great writer in Erich Maria Remarque. He is a craftsman of unquestionably first rank, a man who can bend language to his will. Whether he writes of men or of inanimate nature, his touch is sensitive, firm, and sure.”—The New York Times Book Review",Action & Adventure (Books),Action & Adventure
Origin (Robert Langdon),Dan Brown,"Paperback,– 15 Nov 2018",4.1 out of 5 stars,"1,256 customer reviews","Sunday Times 1 Bestseller New York Times 1 Bestseller the global bestseller - Origin is the latest Robert Langdon novel from the author of the Da Vinci Code. 'Fans will not be disappointed' the Times Robert Langdon, Harvard professor of symbology and religious iconology, arrives at the Guggenheim Museum Bilbao to attend the unveiling of an astonishing scientific breakthrough. The evening’s host is billionaire Edmond Kirsch, a futurist whose dazzling high-tech inventions and audacious predictions have made him a controversial figure around the world. But Langdon and several hundred guests are left reeling when the meticulously orchestrated evening is suddenly blown apart. There is a real danger that Kirsch’s precious discovery may be lost in the ensuing chaos. With his life under threat, Langdon is forced into a desperate bid to escape Bilbao, taking with him the museum’s director, Ambra Vidal. Together they flee to Barcelona on a perilous quest to locate a cryptic password that will unlock Kirsch’s secret. To evade a devious enemy who is one step ahead of them at every turn, Langdon and Vidal must navigate the labyrinthine passageways of extreme religion and hidden history. On a trail marked only by enigmatic symbols and elusive modern art, Langdon and Vidal will come face-to-face with a breathtaking truth that has remained buried – until now. ‘Dan Brown is the master of the intellectual cliffhanger’ Wall Street Journal ‘As engaging a hero as you could wish for’ Mail on Sunday ‘For anyone who wants more brain-food than thrillers normally provide’ Sunday Times.",Action & Adventure (Books),Action & Adventure
Nutshell,Ian McEwan,"Paperback,– 1 Jun 2017",3.7 out of 5 stars,7 customer reviews,"The Sunday Times Number One Bestseller

Trudy has betrayed her husband, John. She's still in the marital home – a dilapidated, priceless London townhouse – but not with John. Instead, she's with his brother, the profoundly banal Claude, and the two of them have a plan. But there is a witness to their plot: the inquisitive, nine-month-old resident of Trudy's womb.",Contemporary Fiction (Books),"Crime, Thriller & Mystery"
Nighthawk: NUMA Files #14 (The NUMA Files),Clive Cussler,"Paperback,– Import, 3 May 2018",4.8 out of 5 stars,6 customer reviews,"When the most advanced aircraft ever designed vanishes over the South Pacific, NUMA operatives Kurt Austin and Joe Zavala are drawn into a deadly contest to locate the fallen machine.
A doomed aircraft
Flying over the South Pacific, the most technologically advanced spacecraft ever built vanishes into thin air. Both China and Russia would kill for the secrets it contains.

An unstable cargo
Kurt Austin and the NUMA team are drawn into a stealthy race to locate the wreck, before someone else does. Only the United States know that waiting in its debris is a payload.
A devastating weapon
Kept at absolute zero, the cargo could obliterate the face of the earth if allowed to thaw. With only seven days until its temperature rises the NUMA team have to work against the clock to stop its deadly payload from wiping out all of life on earth.
'The Adventure King' Sunday Express

'Cussler is hard to beat' Daily Mail",Action & Adventure (Books),Action & Adventure
Without Fail: (Jack Reacher 6),Lee Child,"Paperback,– 6 Jan 2011",4.3 out of 5 stars,21 customer reviews,"""Lee Child's protagonist, Jack Reacher, is a hero in the Dirty Harry style, a man who lives by his own principles. . .Produces a surprising twist when it's least expected."" (Sunday Telegraph)

Jack Reacher walks alone.

No job, no ID, no last known address. But he never turns down a plea for help. Now a woman tracks him down. A woman serving at the very heart of US power. A woman who needs Reacher's assistance in her new job.

Her job?

Protecting the Vice-President of the United States.

Her problem?

Someone wants the VP dead.

Although the Jack Reacher novels can be read in any order, Without Fail is 6th in the series.",Contemporary Fiction (Books),"Crime, Thriller & Mystery"
Imagining India: Ideas for the New Century,Nandan Nilekani,"Paperback,– 12 Jan 2010",4.2 out of 5 stars,25 customer reviews,"Imagining India created ripples with its perspective on India’s recent history and the core issues plaguing the country’s development. Cogently argued and packed with Nilekani’s own experiences and interactions with hundreds of opinion leaders, it offers a comprehensive blueprint for India in the twenty-first century.",Industries & Business Sectors (Books),Politics
Grafity's Wall,Ram V,"Hardcover,– Import, 4 Oct 2018",5.0 out of 5 stars,3 customer reviews,"When an aspiring street artist by the name of Grafity watches the tenements outside his home being razed, he finds an unlikely canvas at the one wall still left standing in the debris. Over the next weeks, he begins creating a mural on the wall, one that chronicles the lives of his friends: a local low-level fixer named Jay who harbours dreams of being a rapper. A brilliant and awkward boy named Chasma who writes love letters between shifts waiting tables at a local Chinese restaurant. And Saira, an aspiring actress with ambitions so fierce that they threaten to consume her and all those around her. As the mural progresses, the story gives us glimpses into these incandescent lives, their hopes and dreams both inspired and impeded by the impossible city that they live in.",Literature & Fiction (Books),Comics & Mangas
The Seven Deaths of Evelyn Hardcastle: Winner of the Costa First Novel Award 2018,Stuart Turton,"Paperback,– 4 Oct 2018",4.5 out of 5 stars,25 customer reviews,"THE SUNDAY TIMES BESTSELLER

WINNER OF THE COSTA FIRST NOVEL AWARD
WINNER OF THE BOOKS ARE MY BAG NOVEL AWARD
SHORTLISTED FOR THE SPECSAVERS NATIONAL BOOK AWARDS
SHORTLISTED FOR THE BRITISH BOOK AWARDS DEBUT OF THE YEAR
LONGLISTED FOR THE THEAKSTON OLD PECULIER CRIME NOVEL OF THE YEAR

Gosford Park meets Groundhog Day by way of Agatha Christie and Black Mirror - the most inventive story you'll read this year

Tonight, Evelyn Hardcastle will be killed ... Again
It is meant to be a celebration but it ends in tragedy. As fireworks explode overhead, Evelyn Hardcastle, the young and beautiful daughter of the house, is killed.
But Evelyn will not die just once. Until Aiden - one of the guests summoned to Blackheath for the party - can solve her murder, the day will repeat itself, over and over again. Every time ending with the fateful pistol shot.
The only way to break this cycle is to identify the killer. But each time the day begins again, Aiden wakes in the body of a different guest. And someone is determined to prevent him ever escaping Blackheath...
SELECTED AS A BOOK OF THE YEAR BY THE GUARDIAN, I PAPER, FINANCIAL TIMES AND DAILY TELEGRAPH",Action & Adventure (Books),Action & Adventure
Infidel,Ayaan Hirsi Ali,"Paperback,– 3 Mar 2008",4.4 out of 5 stars,23 customer reviews,"Ayaan Hirsi Ali is one of today's most admired and controversial political figures. She burst into international headlines following the murder of Theo van Gogh by an Islamist who threatened she would be next. An international bestseller, her life story INFIDEL shows the coming of age of this elegant, distinguished -- and sometimes reviled -- political superstar and champion of free speech. Ultimately a celebration of triumph over adversity, Hirsi Ali's story tells how a bright, curious, dutiful little girl evolves into a pioneering freedom fighter. As Western governments struggle to balance democratic ideals with religious pressures, no other book could be more timely, or more significant.",Biographies & Autobiographies (Books),"Biographies, Diaries & True Accounts"
"Big Data: A Revolution That Will Transform How We Live, Work and Think",Kenneth Cukier,"Paperback,– 10 Oct 2013",3.8 out of 5 stars,57 customer reviews,"A New York Times bestseller. Longlisted for the Financial Times/Goldman Sachs Business Book of the Year Award. Since Aristotle, we have fought to understand the causes behind everything. But this ideology is fading. In the age of big data, we can crunch an incomprehensible amount of information, providing us with invaluable insights about the rather than the why. We're just starting to reap the benefits: tracking vital signs to fore see deadly infections, predicting building fires, anticipating the best moment to buy a plane ticket, seeing inflation in real time and monitoring social media in order to identify trends. But there is a dark side to big data. Will it be machines, rather than people, that make the decisions? How do you regulate an algorithm? What will happen to privacy? Will individuals be punished for acts they have yet to commit? In this groundbreaking and fascinating book, two of the world's most-respected data experts reveal the reality of a big data world and outline clear and actionable steps that will equip the reader with the tools needed for this next phase of human evolution.",Internet & Web (Books),"Computing, Internet & Digital Media"
The Coming of the Third Reich: How the Nazis Destroyed Democracy and Seized Power in Germany,Richard J. Evans,"Paperback,– 5 Aug 2004",4.4 out of 5 stars,3 customer reviews,"Richard J. Evans' The Coming of the Third Reich: How the Nazis Destroyed Democracy and Seized Power in Germany explores how the First World War, the Weimar Republic and the Great Depression paved the way for Nazi rule.
They started as little more than a gang of extremists and thugs, yet in a few years the Nazis had turned Germany into a one-party state and led one of Europe's most advanced nations into moral, physical and cultural ruin and despair.
In this consummate and compelling history, the first book in his acclaimed trilogy on the rise and fall of Nazi Germany, Richard Evans reveals how and why it happened, questions whether the rise of Hitler was inevitable and dramatically re-creates the maelstrom of disorder, economic disaster, violence and polarization that gave rise to the terror of the Third Reich.
'Monumental ... gripping ... the definitive account of our time'
  Andrew Roberts, Daily Telegraph
'Impressive ... perceptive ... humane ... the most comprehensive history in any language of the disastrous epoch of the Third Reich'
  Ian Kershaw, author of Hitler
'The most gripping account I've read of German life before and during the rise of the Nazis'
  A.S. Byatt, Times Literary Supplement Books of the Year
Sir Richard J. Evans is Professor of Modern History at Cambridge University. His previous books include In Defence of History, Telling Lies about Hitler and the companions to this title, The Coming of the Third Reich and The Third Reich at War.",Political Ideologies (Books),Politics
The Tycoon's Outrageous Proposal (M&B AUGUST 2017),Miranda Lee,"Paperback,– 31 Aug 2017",3.0 out of 5 stars,2 customer reviews,"There’s nothing more desirable than a woman who wants you, despite herself.'

Australian tycoon and international playboy Byron Maddox is used to getting what he wants. And for some reason, he wants shy PA Cleo Shelton.

Cleo is sure it’s only because she turned him down – finally free of an abusive marriage, Cleo is enjoying her independence and has no intention of being under the thumb of another man! Especially a man she finds irresistibly alluring…

But Byron won’t be thwarted so easily – and when he proposes one sizzling night together, Cleo’s resistance is crumbling under the force of his expert seduction!",Romance (Books),Romance
The Best We Could Do: An Illustrated Memoir,Thi Bui,"Paperback,– 17 Apr 2018",5.0 out of 5 stars,4 customer reviews,"AN ABA Indies Introduce Winter/ Spring 2017 Selection A Barnes & Noble Discover Great New Writers Spring 2017 Selection Now in paperback, this critically acclaimed and beautifully illustrated emotional story is an evocative memoir about the search for a better future and a longing for the past. Exploring the anguish of immigration and the lasting effects that displacement has on a child and her family, Bui documents the story of her family's daring escape after the fall of South Vietnam in the 1970s, and the difficulties they faced building new lives for themselves. At the heart of Sui's story is a universal struggle: While adjusting to life as a first- time mother, she ultimately discovers what it means to be a parent-the endless sacrifices, the unnoticed gestures, and the depths of unspoken love. Despite how impossible it seems to take on the simultaneous roles of both parent and child, Bui pushes through. With haunting, poetic writing and breathtaking art, she examines the strength of family, the importance of identity, and the meaning of home. In what Pulitzer Prize-winning novelist Viet Thanh Nguyen calls ""a book to break your heart and heal it,"" The Best We Could Do brings to life Thi Sui's journey of understanding, and provides inspiration to all of those who search for a better future while longing for a simpler past.",Biographies & Autobiographies (Books),Comics & Mangas
Our Story of Love,Keshav Aneel,"Paperback,– 5 Jun 2019",5.0 out of 5 stars,36 customer reviews,"You don’t find true love. You build it.
Paarth has just turned 18, and instead of celebrating, he is driving his father’s taxi to make ends meet. When he picks up Upasna from the Delhi airport, little did he know that their drive to Chandigarh will be so adventurous!
Upasna is studying Automobile Engineering in Germany, and has come back home for a short holiday. When she stumbles upon a little secret about Paarth, she is in awe of him, and love inevitably happens. However, not only their social status, but the long distance between them is also a problem.
Her undying faith in Paarth makes him challenge his destiny to prove his worth to her father, and more to himself. As he sets on a path to reinvent his identity, his friend Kartik stands by him to see him through.
In a world where relationships are based on give and take, how their love eventually breaks stereotypes, builds a way and sets an example, is the mesmerizing - Our Story of Love.",Indian Writing (Books),Romance
Frostfire (Kanin Chronicles),Amanda Hocking,"Paperback,– 15 Jan 2015",3.5 out of 5 stars,4 customer reviews,"Frostfire by Amanda Hocking is the stunning first installment in a tale of love, betrayal and the need to belong, the Kanin Chronicles. Will she give up her dream to follow her heart? Bryn Aven is determined to gain status amongst the Kanin, the most powerful of the hidden tribes. But as a half-blood, winning respect is a huge challenge. Bryn's almost-human community distrusts people, and those from other tribes are almost as suspect. She has just one goal to get ahead: to join the elite guard protecting the Kanin royal family. And Bryn's vowed that nothing will stand in her way, not even a forbidden romance with her boss, Ridley Dresden. But her plans are put on hold when fallen hero Konstantin starts acting dangerously. Bryn loved him once, but now he's kidnapping Kanin children - stealing them from hidden placements within human families. She's sent to help stop him, but will she lose her heart in the process?",Action & Adventure (Books),Action & Adventure
Asterix and the Goths: Album 3,Albert Uderzo,"Paperback,– 21 Apr 2005",3.8 out of 5 stars,6 customer reviews,"Asterix and Obelix escort Getafix to the druids' annual conference in the Forest of the Carnutes. Little do they know that the Goths are lying in ambush, ready to kidnap the Druid of the Year - who of course is Getafix! But what with Gauls, Goths and Romans all at odds, it's hard to tell friend from foe... until Goths begin fighting Goths in the Asterixian Wars.",Mangas,Humour
The Swiss Family Robinson: The Graphic Novel (Campfire Graphic Novels),Richard Blandford,"Paperback,– 15 Feb 2011",5.0 out of 5 stars,1 customer review,"When a boat travelling to Australia hits a reef and is destroyed, only one family survives. Shipwrecked on an island, and with no sign of rescue, the Robinsons are forced to use whatever means possible to stay alive.

Through their struggles, the members of the family learn, not only how to survive, but also how to enjoy themselves in the face of adversity. The pastor, his wife and four children share many experiences together - both arduous and fun - and grow closer as a result.

This classic tale of adventure on a desert island is exciting to read, as much as it is a story with a moral.",Comics & Mangas (Books),Comics & Mangas
Madrigal's Magic Key to Spanish: A Creative and Proven Approach,Margarita Madrigal,"Paperback,– 1 Sep 1989",4.5 out of 5 stars,14 customer reviews,"Learn the basics of the Spanish language with this easy-to-use guide by one of America's most prominent language teachers.

Anyone can read, write, and speak Spanish in only a few short weeks with this unique and proven method, which completely eliminates rote memorization and boring drills. With original black and white illustration by Andy Warhol, Madrigal's Magic Key to Spanish will provide readers with a solid foundation upon with to build their language skills.",Reading Skills,"Language, Linguistics & Writing"
"School Essays, Letters, Paragraphs, Comprehension and Stories (For Middle Classes)",Madan Sood,"Paperback,– 1 Apr 2019",3.6 out of 5 stars,5 customer reviews,"This book encompasses a wide range of essays paragraphs, stories, letters and comprehension and is meant for students studying at Middle level. There are variegated themes to motivate the learner to use English for purpose of communication and expression.
A conscious effort has been made to provide interesting reading material and the book aims at facilitating extra reading, as students of all standards are expected to read beyond the prescribed text books. All categories of essays, paragraphs, stories and letters find a place in this book. The Introduction section provides a comprehensive background to the learners about the topics that have been dealt in this book. As the Comprehension of the given passage and providing answers to the questions asked pertaining to the passage form part of all test/examinations, from Primary to the highest level examinations, exercises on Comprehension will enable the students to solve any unseen passage which they may come across in their school tests or annual examinations. Exercises include very useful exercises on Practical Grammar/Usage, and answers to fully solved exercises on Comprehension have been provided to enable the students to evaluate their grasp of the topics.",Children's Language Learning (Books),"Language, Linguistics & Writing"
Trinity College London Electronic Keyboard Exam Pieces & Technical Work 2019-2022: Initial Grade,Trinity College London Press,"Sheet music,– Import, 10 Oct 2018",3.6 out of 5 stars,6 customer reviews,"This book contains everything needed to prepare for the performance and technical work components of a Trinity Electronic Keyboard Initial exam in 2019-2022. All pieces have been composed or arranged specifically for the keyboard, and encompass a wide range of styles from classical favourites to TV, film or show themes. The own interpretation piece allows the candidate to create a personal arrangement, choosing their own voices, style, keyboard functions and interpretation. Also included are the scales, chord knowledge and exercises that form the technical work component of the exam. Demonstration recordings can be downloaded free.
This series provides progressive steps in performance and keyboard functions for all electronic keyboard students, whether preparing for a Trinity exam or studying on another path.",Music Books,"Arts, Film & Photography"
Theory of Music Workbook Grade 1 (2007) (Trinity Guildhall Theory of Music),Naomi Yandell,"Sheet music,– 10 Jun 2007",4.2 out of 5 stars,32 customer reviews,"This theory workbook contains worked examples and sample exercises for Trinity College London Theory Grade 1 examinations from 2007. This is suitable for use in lessons or at home, for private study.",Music Books,"Arts, Film & Photography"
The Old Man and the Sea,Ernest Hemingway,"Hardcover,– 24 Aug 2016",4.3 out of 5 stars,"1,248 customer reviews","The Old Man and the Sea, an apparently simple fable, represents the mature Hemingway at his best. He was awarded the Nobel Prize for Literature soon after its publication, and half a century later it is still one of his most read books.",Action & Adventure (Books),Action & Adventure
Pataudi : Nawab of Cricket,Suresh Menon,"Paperback,– Illustrated, 13 Aug 2013",4.7 out of 5 stars,10 customer reviews,"A brilliant anthology of essays on Mansur Ali Khan Pataudi n Pataudi: Nawab of Cricket, players, writers, editors, actors, friends and opponents reminisce about their association with Mansur Ali Khan Pataudi, one of India's greatest cricketing heroes, highlighting various aspects of the gentleman-cricketer, from his days as an exciting new talent at school and Oxford to his ascendancy as an iconic figure of Indian sport. Including an intimate Foreword by Sharmila Tagore, this extraordinary anthology - brilliantly put together by Suresh Menon, arguably India's best sports writer and journalist - offers a fascinating portrait of a cricketer and a gentleman whose contribution to Indian cricket went beyond the number of Tests he played and the runs he scored.",Biographies & Autobiographies (Books),"Biographies, Diaries & True Accounts"
The Unrevealed Secrets of Hacking and Cracking - Hack Before You Get Cracked,"Prateek Shukla, Navneet Mehra","Paperback,– 2012",3.6 out of 5 stars,52 customer reviews,"This book serves as a complete reference for information security including IT security, data security, network security, internet security, penetration testing, cryptography and laws governing the industry.
The book describes the tools and penetration testing methodologies used by ethical hackers and provides a discussion of what and who an ethical hacker is and what role he plays in protecting corporate and government data from cyber attacks.
It also offers an understanding of how to effectively protect data and computer networks.
Finally, it presents the subject in a simplified manner so that even a beginner dealing in a security environment understands and implements information security at personal and corporate levels.",Computer Security (Books),"Computing, Internet & Digital Media"
Nocturnes: Five Stories of Music and Nightfall,Kazuo Ishiguro,"Paperback,– 18 Mar 2010",4.6 out of 5 stars,2 customer reviews,"From the Nobel Prize-winning author of The Remains of the Day and Never Let Me Go In Nocturnes, Kazuo Ishiguro explores the ideas of love, music and the passing of time. From the piazzas of Italy to the 'hush-hush floor' of an exclusive Hollywood hotel, the characters we encounter range from young dreamers to cafe musicians to faded stars, all of them at some moment of reckoning. Gentle, intimate and witty, this quintet is marked by a haunting theme: the struggle to keep alive a sense of life's romance, even as one gets older, relationships founder and youthful hope recedes.",Music Books,Romance
Year One (Chronicles of The One),Nora Roberts,"Paperback,– 21 Dec 2018",4.8 out of 5 stars,6 customer reviews,"With one drop of blood, the old world is gone for ever. And in its place, something extraordinary begins. They call it The Doom - a deadly pandemic that starts on a cold New Year's Eve in the Scottish countryside. There's something mysterious about the virus and the way it spreads. As billions fall sick and die, some survivors find themselves invested with strange, unexpected abilities. Lana, a New York chef, has the power to move things and people with her will. Fred can summon light in the darkness. Jonah, a paramedic, sees snatches of the future in those he touches. Katie gives birth to twins and suspects that she has brought fresh magic into the world, along with new life. But The Doom affects people differently. Along with the light, a dark and terrifying magic will also rise. As the remaining authorities round up the immune and the 'Uncannies' for testing, Lana, Katie and others flee New York in search of a safe haven. The old world is over and Year One has begun.",Action & Adventure (Books),Romance
